,reference_code,pmid,doi,comment,Language,Volume,Issue,Page,Journal,Abstract,Date,Authors
859,84WAS/DAU,6391537.0,10.1021/bi00317a015,,['eng'],23,22,5182-7,Biochemistry,"The alanine racemase encoded by the Salmonella typhimurium dadB gene was purified to 90% homogeneity from an overproducing strain. At 37 degrees C the enzyme has a specific activity of 1400 units/mg (V max, L- to D-alanine). Active enzyme molecules are monomers of Mr 39 000 with one molecule of pyridoxal 5'-phosphate bound per subunit. The Km's for L- and D-alanine are 8.2 and 2.1 mM, respectively. Measurement of turnover numbers yielded the expected Keq value of 1.0. Determination of 22 of the 25 N-terminal amino acid residues of the purified polypeptide allowed localization of cloned DNA encoding the structural gene. Sequencing of subcloned DNA revealed that the dadB gene encodes a polypeptide of 356 amino acids whose calculated molecular weight (apoenzyme) was 39 044.",Oct 1984,"S A Wasserman, E Daub, P Grisafi, D Botstein, C T Walsh"
860,85ANS/PRI,,10.1042/bst0130362,,-,-,-,-,-,-,-,-
861,85BAD/WAL,3921052.0,10.1021/bi00327a010,,['eng'],24,6,1333-41,Biochemistry,"An alanine racemase has been purified some 30 000-fold almost to homogeneity from Gram-positive Streptococcus faecalis NCIB 6459; the enzyme has been purified to the same extent (4000-fold) from an O-carbamyl-D-serine-resistant mutant with a 7-fold higher enzyme level in crude extract. The racemase has one pyridoxal phosphate molecule per 42-kDa subunit, has a Vmax of 3570 units/mg and a Km of 7.8 mM in the L to D direction, and has a Vmax of 1210 units/mg and a Km of 2.2 mM in the D to L direction. The Keq is 0.8 and kcat/Km values are ca. 3 X 10(5) M-1 s-1. The purified enzyme is inhibited in a time-dependent manner by both L- and D-(l-aminoethyl)phosphonates (Ala-P), confirming observations of Atherton et al. in crude extracts of this organism [Atherton, F. R., Hall, M. J., Hassal, C. H., Holmes, S. W., Lambert, R. W., Lloyd, W. J., & Ringrose, P. S. (1980) Antimicrob. Agents Chemother. 18, 897]. Studies with [1-2H]-, [1-3H]-, and [1,2-14C]Ala-P rule out enzymic activation and processing as the basis for irreversible inhibition. Thus, enzyme after exposure to [14C]Ala-P or [alpha-3H]Ala-P and gel filtration contains stoichiometric amounts of radioactive label, but denaturation quantitatively releases intact Ala-P into solution as revealed by high-performance liquid chromatography and cocrystallization with authentic material. The Ala-P isomers are slow binding inhibitors of this racemase as is the alpha,alpha'-dimethyl analogue but not the D or L isomers of the corresponding phosphinate.(ABSTRACT TRUNCATED AT 250 WORDS)",Mar 1985,"B Badet, C Walsh"
862,85BAR,16664543.0,10.1104/pp.79.4.1127,,['eng'],79,4,1127-8,Plant physiology,The equilibrium constant for the reaction catalyzed by sucrose phosphate synthase was reported 25 years ago to be 3250 at pH 7.5. It has been redetermined and found to be about 2 in the direction of synthesis and 6 to 10 when measured in the opposite direction.,Dec 1985,G A Barber
863,85COO/PRA,3966792.0,10.1016/0003-9861(85)90602-2,,['eng'],236,1,26-35,Archives of biochemistry and biophysics,"The ability of 0.4 M KCl to extract over 80% of a short-chain beta-hydroxyacyl-CoA dehydrase from rat hepatic endoplasmic reticulum, while more than 80% of the long-chain beta-hydroxyacyl-CoA dehydrase component of the fatty acid chain elongation system remains intact, confirms the existence of more than one hepatic microsomal dehydrase. Following extraction from the microsomal membrane, the short-chain dehydrase undergoes, at least, a two-fold activation. Employing even-numbered trans-2-enoyl-CoA substrates ranging in carbon chain length from 4 to 16, the highest dehydrase specific activity of 16 mumol min-1 mg protein-1 was obtained with trans-2-hexenoyl-CoA; crotonyl-CoA was the second most active substrate, followed by 8 greater than 10 greater than 12 greater than 14 greater than 16. The specific activity of the short-chain dehydrase with trans-2-hexadecenoyl-CoA (C-16) was only 3% of that observed with the trans-2-hexenoyl-CoA. With crotonyl-CoA or beta-hydroxybutyryl-CoA as substrates, HPLC was employed to identify the products, beta-hydroxybutyryl-CoA, of the hydration reaction, or crotonyl-CoA, of the reverse dehydration reaction. It was also observed that the short-chain dehydrase catalyzed the formation of both D(-) and L(+) stereoisomers of beta-hydroxybutyryl-CoA. The equilibrium constant for the dehydrase-catalyzed reaction determined at pH 7.4 and 35 degrees C, was calculated to be 6.38 X 10(-2) M-1, while the standard free energy change was -775 cal/mol, results similar to those obtained with crystalline crotonase. Finally, based on membrane fraction marker enzymes, substrate specificity, and heat lability of the dehydrase, it was concluded that the microsomal membrane contains a short-chain beta-hydroxyacyl-CoA dehydrase which is separate from the mitochondrial crotonase.",Jan 1985,"L Cook, M R Prasad, R Vieth, D L Cinti"
864,85DAS/BRO,4092075.0,10.1016/0301-4622(85)80068-5,,['eng'],23,1-2,105-14,Biophysical chemistry,"Direct microcalorimetric measurements were made of the reaction between acetylcholine chloride and acetylcholinesterase (EC 3.1.1.7) that was extracted from electric eel (Electrophorus electricus) and purified by affinity chromatography. Tris-HCl, sodium phosphate and potassium phosphate were used as buffers and sources of ions for the reaction. At pH 7.2 and in 0.1-0.2 M phosphate buffer, the delta H for acetylcholine hydrolysis was found to be -0.107 kcal/mol (under buffered conditions) and -0.931 kcal/mol under unbuffered conditions (water). At pH 8.0 in 0.1 M Tris-HCl buffer, values greater than -2.5 kcal/mol were obtained, with the highest value of -9.2 kcal/mol being seen with bovine erythrocyte acetylcholinesterase. Tris-HCl buffer at 4 X 10(-2) M enhanced the reaction velocity by 51.2% over that of 4 X 10(-3) M buffer. Enzyme purity, pH and ionic milieu of reaction mixture, and substrate concentration affected the measured delta H value.",Nov 1985,"Y T Das, H D Brown, S K Chattopadhyay"
865,85DEM/BEH,3004566.0,10.1021/bi00347a042,,['eng'],24,26,7783-9,Biochemistry,"The energy of hydrolysis of phosphate compounds varies depending on whether they are in solution or bound to the catalytic site of enzymes. With the purpose of simulating the conditions at the catalytic site, the observed equilibrium constant for pyrophosphate hydrolysis (Kobsd) was measured in aqueous mixtures of dimethyl sulfoxide, ethylene glycol, or polymers of ethylene glycol. The reaction was catalyzed by yeast inorganic pyrophosphatase at 30 degrees C. All the cosolvents used promoted a decrease of Kobsd. Polymers of ethylene glycol were more effective than dimethyl sulfoxide or ethylene glycol in decreasing Kobsd. The higher the molecular weight of the polymer, the lower the value of Kobsd. A decrease in Kobsd from 346 M (delta G degree obsd = -3.5 kcal mol-1) to 0.1 M (delta G degree obsd = 1.3 kcal mol-1) was observed after the addition of 50% (w/v) poly(ethylene glycol) 8000 to a solution containing 0.9 mM MgCl2 and 1 mM Pi at pH 8.0. The association constants of Pi and pyrophosphate for H+ and Mg2+ were measured in presence of different ethylene glycol concentrations in order to calculate the Keq for hydrolysis of different ionic species of pyrophosphate. A decrease in all the Keq was observed. The results are interpreted according to the concept that the energy of hydrolysis of phosphate compounds depends on the different solvation energies of reactants and products.",Dec 1985,"L de Meis, M I Behrens, J H Petretski, M J Politi"
866,85FAG/DEW,3158649.0,10.1016/S0021-9258(18)88949-9,,['eng'],260,10,6147-52,The Journal of biological chemistry,"The steady state kinetics of calcium transport driven by ATP hydrolysis and ATP synthesis catalyzed by purified, reconstituted calcium ATPase has been investigated as a function of the transmembrane calcium gradient. Purified calcium ATPase was reconstituted into phospholipid vesicles enabling control of the transmembrane calcium gradient. Calcium transport was monitored spectrophotometrically by the calcium indicator, Arsenazo III. Thus, only the enzymatic activity of coupled transport was measured. It was shown under conditions of low external calcium that ATP hydrolysis and synthesis follow simple Michaelis-Menten kinetics and that Michaelis constants obtained for both processes appear independent of the calcium gradient. The maximum velocities for both hydrolysis and synthesis strongly depend on the transmembrane calcium gradient. Based on these results, a mechanism is proposed in which a random addition of substrates for ATP synthesis is followed by random release of ATP and calcium. By measuring the ATP hydrolysis and synthesis under identical conditions, determination of the equilibrium constant for ATP hydrolysis as a function of the transmembrane calcium gradient was possible. Our results indicate that the thermodynamics of the catalytic cycle can be totally accounted for by the energetics of transport of 2.2 +/- 0.3 calciums and the hydrolysis of 1 ATP. An equilibrium constant for ATP hydrolysis in the absence of a calcium gradient was determined to be 4.0 X 10(4).",May 1985,"M H Fagan, T G Dewey"
867,85GAJ/GOL,4052575.0,10.1016/0301-4622(85)80042-9,,['eng'],22,3,187-95,Biophysical chemistry,"The thermodynamics of the conversion of aqueous fumarate to L-(-)-malate has been investigated using both heat conduction microcalorimetry and a gas chromatographic method for determining equilibrium constants. The reaction was carried out in aqueous Tris-HCl buffer over the pH range 6.3-8.0, the temperature range 25-47 degrees C, and at ionic strengths varying from 0.0005 to 0.62 mol kg-1. Measured enthalpies and equilibrium ratios have been adjusted to zero ionic strength and corrected for ionization effects to obtain the following standard state values for the conversion of aqueous fumarate 2- to malate 2- at 25 degrees C: K = 4.20 +/- 0.05, delta G degrees = -3557 +/- 30 J mol-1, delta H degrees = -15670 +/- 150 J mol-1, and delta C degrees p = -36 +/- J mol-1 K-1. Equations are given which allow one to calculate the combined effects of pH and temperature on equilibrium constants and enthalpies of this reaction.",Aug 1985,"E Gajewski, R N Goldberg, D K Steckler"
868,85GEU/MAY,3841060.0,10.1111/j.1432-1033.1985.tb09305.x,,['eng'],153,2,327-34,European journal of biochemistry,"The kinetic behaviour of myosin light chain kinase isolated from skeletal muscle was studied under steady-state conditions using highly purified phosphorylatable light chains 2 (LC2). Forward reaction, product inhibition, and reverse reaction data indicate a sequential mechanism which can be interpreted best by a rapid-equilibrium random bi-bi reaction model. The forward reaction parameters are KATP = 150 microM, KLC2 = 5.3 microM, and Ki LC2 = 7.6 microM. The enzyme forms a dead-end complex with ADP and light chain 2; Kd, ADP of this complex is 50 microM. The forward reaction is also strongly inhibited by the phosphorylated light chain 2, Ki, LC2P is 1.5 microM. An equilibrium constant Keq of about 70 can be calculated from the kinetic parameters which agrees with the directly measured value of about 60. The role of the two inhibitory mechanisms in the regulation of the enzyme and of the high energy of the light chain phosphate bond as deducible from Keq are discussed.",Dec 1985,"U Geuss, G W Mayr, L M Heilmeyer"
869,85HEA/CHU,4066712.0,10.1016/S0021-9258(17)36245-2,,['eng'],260,30,16361-6,The Journal of biological chemistry,"Succinic semialdehyde reductase, a NADP+-dependent enzyme, was purified from whole pig brain homogenates. The enzyme preparation migrates as a single protein and activity band on analytical gel electrophoresis. Succinic semialdehyde reductase (Mr 110,000) catalyzes the reduction of succinic semialdehyde to 4-hydroxybutyrate. The equilibrium constant of the reaction is Keq = 5.8 X 10(7) M-1 at pH 7 and 25 degrees C. The inhibition kinetic patterns obtained when 4-hydroxybutyrate or substrate analogs are used as inhibitors of the reaction catalyzed by the reductase are consistent with an ordered sequential mechanism, in which the coenzyme NADPH adds to the enzyme before the aldehyde substrate. A specific aldehyde reductase was also purified to homogeneity from brain mitochondria preparations. Its catalytic properties are identical to those of the enzyme isolated from whole brain homogenates. It is postulated that two enzymes, i.e. a NAD+-dependent dehydrogenase and a NADP+-dependent reductase, participate in the metabolism of succinic semialdehyde in the mitochondria matrix.",Dec 1985,"W G Hearl, J E Churchich"
870,85HER/AIY,4052045.0,10.1042/bj2300043,,['eng'],230,1,43-52,The Biochemical journal,"S-Adenosylhomocysteine hydrolase (EC 3.3.1.1) was purified to homogeneity from human placenta by using S-adenosylhomocysteine-agarose affinity chromatography. The enzyme is a tetramer with a native Mr of 189 000 and subunit Mr of 47 000-48 000; there were nine cysteine residues per subunit and no disulphide bonds. The pI was 5.7. H.p.l.c. analysis revealed that the enzyme contained four molecules of tightly bound cofactor (NAD) per tetramer, of which 10-50% was in the reduced form. The enzyme had four binding sites per tetramer for adenosine, of which 10-35% were found to be occupied. Two types of adenosine-binding sites could be distinguished on the basis of differences in rates of dissociation of the enzyme-adenosine complex, and by examining binding of adenosine at 0 degree C and 37 degrees C. The enzyme catalysed the interconversion of adenosine and 4',5'-dehydroadenosine; the equilibrium constant for this reaction was 2.1 and favoured 4',5'-dehydroadenosine formation. Variability in the specific activity of preparations of S-adenosylhomocysteine hydrolase was related to the NAD+/NADH ratio of the preparation. The capacity to bind radioactively labelled adenosine depended on the adenosine content of the purified enzyme. The rate of adenosine binding and the sensitivity of S-adenosylhomocysteine hydrolase to inactivation by adenosine were both diminished in the absence of dithiothreitol.",Aug 1985,"M S Hershfield, V N Aiyar, R Premakumar, W C Small"
871,85LEE/OSU,2997186.0,10.1016/S0021-9258(17)38662-3,,['eng'],260,26,13909-15,The Journal of biological chemistry,"The diastereomers of adenosine 5'-O-(1-thiotriphosphate) (ATP alpha S), adenosine 5'-O-(2-thiotriphosphate) (ATP beta S), and adenosine 5'-O-(3-thiotriphosphate) (ATP gamma S) could act as substrates for phosphomevalonate kinase in the presence of Mg2+ and Cd2+ as activating divalent metal cations. The Sp diastereomer of ATP alpha S was the preferred substrate regardless of the metal ion used, consistent with the metal ion not binding to the alpha-phosphate. With ATP beta S, the Sp diastereomer was the preferred substrate with Mg2+, and the Rp diastereomer was the preferred substrate with Cd2+. The reversal of specificity establishes that the metal is chelated through the beta-phosphate in the active site of the phosphomevalonate kinase reaction. A comparison of the Vmax values as a function of substitution of oxygen by sulfur showed the order for Mg2+ to be: ATP greater than ATP alpha S(Sp) greater than ATP alpha S(Rp) greater than ATP beta S(Sp) greater than ATP gamma S greater than ATP beta S(Rp). With Cd2+ as the activating metal ion, the order was: ATP greater than ATP alpha S(Sp) greater than ATP alpha S(Rp) greater than ATP beta S(Rp) greater than ATP gamma S greater than ATP beta S(Sp). It is concluded that the chelate structure of metal ATP substrate in the phosphomevalonate kinase reaction is the delta, beta, gamma-bidentate complex. 31P NMR measurements and radioassay with [2-14C] phosphomevalonate were used to measure the equilibrium of the reaction catalyzed by phosphomevalonate kinase with ATP and phosphorothioate analogues of ATP as the phosphoryl group donor. The order as a phosphate donor as determined by both methods in the phosphomevalonate kinase reaction is ATP beta S greater than ATP alpha S greater than ATP greater than ATP gamma S. Except for ATP gamma S, the equilibrium is shifted in the direction of formation of ADP alpha S and ADP beta S relative to ADP formation. Thus, ATP beta S rather than ATP would be effective for the synthesis of diphosphomevalonate. The phosphomevalonate kinase reaction could also be used to synthesize mevalonate 5-(2-thiodiphosphate) using ATP gamma S as the phosphoryl group donor.",Nov 1985,"C S Lee, W J O'Sullivan"
872,85LIE,,,,-,-,-,-,-,-,-,-
873,85MAK/KIE,,10.1002/star.19850370706,,-,-,-,-,-,-,-,-
874,85REK/SLO,,10.1016/0040-6031(85)85203-5,,-,-,-,-,-,-,-,-
875,85SRI/FIS,3994979.0,10.1021/bi00324a012,,['eng'],24,3,618-22,Biochemistry,"The glutamate dehydrogenase catalyzed reduction of delta 1-pyrroline-2-carboxylic acid (PCA; an alpha-imino acid) with reduced nicotinamide adenine dinucleotide phosphate (NADPH) to give L-proline and NADP+ is employed as a model for the redox step of the corresponding enzyme-catalyzed reductive amination of alpha-ketoglutarate. We demonstrate the reversibility of the model reaction and measure its equilibrium constant. The pH profiles for the model reactions show that the active substrates are the N-protonated imino acid in one direction and the proline anion with a neutral amino group in the other. The V/K value for the imino acid reduction is enhanced by a group Z of pK = 8.6 in the enzyme-NADPH complex, while that for the proline reaction is unaffected by any such group in the enzyme-NADP+ complex. The following conclusions emerge from a comparison of the pH dependence of the rates for the model reactions with that for the oxidative deamination of L-glutamate [Rife, J. E., & Cleland, W. W. (1980) Biochemistry 19, 2328]. The N-protonated form of alpha-iminoglutarate and the conjugate base of glutamate are the active substrates. The redox step is not sensitive to the protonation state of the groups that catalyze the hydrolysis of bound alpha-iminoglutarate. The group Z, which facilitates the PCA reaction, plays no role in the binding of alpha-ketoglutarate. We propose a chemical mechanism for the glutamate reaction where an unprotonated enzyme group of pK = 5.2 in enzyme-NADPH catalyzes the conversion of the alpha-iminoglutarate to the carbinolamine.(ABSTRACT TRUNCATED AT 250 WORDS)",Jan 1985,"R Srinivasan, H F Fisher"
876,85TEW/GOL,,10.1007/BF02824308,,-,-,-,-,-,-,-,-
877,85TEW/GOL2,3931718.0,10.1016/0301-4622(85)80043-0,,['eng'],22,3,197-204,Biophysical chemistry,"The thermodynamics of the equilibria between aqueous ribose, ribulose, and arabinose were investigated using high-pressure liquid chromatography and microcalorimetry. The reactions were carried out in aqueous phosphate buffer over the pH range 6.8-7.4 and over the temperature range 313.15-343.75 K using solubilized glucose isomerase with either Mg(NO3)2 or MgSO4 as cofactors. The equilibrium constants (K) and the standard state Gibbs energy (delta G degrees) and enthalpy (delta H degrees) changes at 298.15 K for the three equilibria investigated were found to be: ribose(aq) = ribulose(aq) K = 0.317, delta G degrees = 2.85 +/- 0.14 kJ mol-1, delta H degrees = 11.0 +/- 1.5 kJ mol-1; ribose(aq) = arabinose(aq) K = 4.00, delta G degrees = -3.44 +/- 0.30 kJ mol-1, delta H degrees = -9.8 +/- 3.0 kJ mol-1; ribulose(aq) = arabinose(aq) K = 12.6, delta G degrees = -6.29 +/- 0.34 kJ mol-1, delta H degrees = -20.75 +/- 3.4 kJ mol-1. Information on rates of the above reactions was also obtained. The temperature dependencies of the equilibrium constants are conveniently expressed as R in K = -delta G degrees 298.15/298.15 + delta H degrees 298.15[(1/298.15)-(1/T)] where R is the gas constant (8.31441 J mol-1 K-1) and T the thermodynamic temperature.",Aug 1985,"Y B Tewari, R N Goldberg"
878,85TEW/STE,17007786.0,10.1016/0301-4622(85)80041-7,,['eng'],22,3,181-5,Biophysical chemistry,"The thermodynamics of the conversion of aqueous xylose to xylulose has been investigated using high-pressure liquid chromatography (HPLC) and microcalorimetry. The reaction was carried out in aqueous phosphate buffer over the pH range 6.8-7.4 using solubilized glucose isomerase with MgSO(4) as a cofactor. The temperature range over which this reaction was investigated was 298.15-342.15 K. A combined analysis of both the HPLC and microcalorimetric data leads to the following results at 298.15 K for the conversion process: DeltaG degrees = 4389 +/- 31 J mol(-1), DeltaH degrees = 16090 +/- 670 J mol(-1), and DeltaC(p) degrees = 40 +/- 23 J mol(-1) K(-1). The temperature dependence of the equilibrium constant for the reaction is expressed as R ln K = -4389/298.15 +16090[(1/298.15)-(1/T)]+40[(298.15/T)-1 + ln(T/298.15)]. Comparisons are made with literature data.",Aug 1985,"Y B Tewari, D K Steckler, R N Goldberg"
879,85VAN/SCH,2864395.0,10.1111/j.1471-4159.1985.tb07214.x,,['eng'],45,5,1471-4,Journal of neurochemistry,"The conversion of succinic semialdehyde into gamma-aminobutyric acid (GABA) by GABA-transaminase was measured in rat brain homogenate in the presence of different concentrations of the cosubstrate glutamate. The calculated kinetic parameters of succinic semialdehyde for GABA-transaminase were a limiting Km value of 168 microM and a limiting Vmax value of 38 mumol g-1 h-1. Combination with previously obtained data for the conversion of GABA into succinic semialdehyde revealed a kEq value of 0.04, indicating that equilibrium of GABA-transaminase is biased toward the formation of GABA. The increased formation of GABA in the presence of succinic semialdehyde was not due to an increased conversion of glutamate into GABA by glutamic acid decarboxylase. Therefore these results indicate that succinic semialdehyde can act as a precursor for GABA synthesis.",Nov 1985,"F J van Bemmelen, M J Schouten, D Fekkes, J Bruinvels"
880,85WIE/HIN,3933423.0,10.1016/0003-9861(85)90228-0,,['eng'],242,2,440-6,Archives of biochemistry and biophysics,"The intrinsic enthalpy changes (corrected for hydration of D-glyceraldehyde 3-phosphate) for the reactions catalyzed by the alpha and beta 2 subunits of tryptophan synthase from Escherichia coli have been determined calorimetrically. Cleavage of indoleglycerol phosphate (alpha reaction) was found to be associated with a delta H value of 54.0 +/- 2.5 kJ mol-1, while condensation of indole with L-serine (beta reaction) involved -80.3 +/- 4.6 kJ mol-1'. By direct determination of the enthalpy concomitant with the overall synthesis of tryptophan from indoleglycerol phosphate and L-serine an enthalpy value of -13.4 +/- 5.6 kJ mol-1 was observed. In view of the uncertainties of the literature data used for calculation of the hydration contribution, the agreement between the directly measured delta H value of the overall reaction and the sum of the enthalpies of the alpha and beta reactions is fair. Deamination of L-serine, a side reaction catalyzed preferentially by the isolated beta 2 pyridoxal 5'-phosphate2 subunit, was shown to be associated with an enthalpy change of -7.3 +/- 0.4 kJ mol-1.",Nov 1985,"H Wiesinger, H J Hinz"
881,86CAS/VEE,3826613.0,10.1016/0003-2697(86)90338-6,,['eng'],159,2,243-8,Analytical biochemistry,"A modification of the method of Kauffman et al. (F. C. Kauffman, J. G. Brown, J. V. Passonneau, and O. H. Lowry (1969) J. Biol. Chem. 244, 3647-3653) for the spectrophotometric determination of xylulose 5-phosphate, ribulose 5-phosphate, and combined ribose 5-phosphate and sedoheptulose 7-phosphate in tissue extract is presented. Using commercially available enzymes all three assays come to a clear endpoint with the assays described. Values for these metabolites in liver in three dietary states are reported; 48 h starved, ad libitum feeding of standard NIH rat ration, and meal feeding of a fat-free diet. Xylulose 5-phosphate values were 3.8 +/- 0.3, 8.6 +/- 0.3, and 66.3 +/- 8.3 nmol/g. Ribulose 5-phosphate values were 3.4 +/- 0.3, 5.8 +/- 0.2, and 37.1 +/- 5.3 nmol/g. Combined ribose 5-phosphate and sedoheptulose 7-phosphate were 29.3 +/- 0.3, 38.2 +/- 1.2, and 108.2 +/- 14.5 nmol/g. The ratio of measured tissue content of [xylulose 5-phosphate]/[ribulose 5-phosphate] was found to be 1.12 +/- 0.07 in starved animals, 1.48 +/- 0.04 in ad libitum fed animals and 1.78 +/- 0.03 in low-fat meal fed animals. These data are in good agreement with the range of equilibrium constants reported for this reaction, suggesting that the ribulose 5-phosphate 3-epimerase reaction (EC 5.1.3.1) is a near equilibrium reaction despite a more than 10-fold change in the tissue content of these metabolites.",Dec 1986,"J P Casazza, R L Veech"
882,86CAS/VEE2,3079759.0,10.1016/S0021-9258(17)36148-3,,['eng'],261,2,690-8,The Journal of biological chemistry,"Equilibrium constants for reactions catalyzed by ribulose-5-phosphate 3-epimerase, [sigma xylulose-5-P]/[sigma ribulose-5-P] = 1.82, ribose-5-phosphate isomerase, [sigma Rib-5-P]/[sigma ribulose-5-P] = 1.20, transaldolase, [sigma erythrose-4-P] [sigma Fru-6-P]/[sigma sedoheptulose-7-P] [sigma glyceraldehyde 3-P] = 0.37, and transketolase, [sigma Fru-6-P] [sigma glyceraldehyde 3-P]/[sigma erythrose-4-P] [sigma xylulose-5-P] = 29.7 and [sigma Rib-5-P] [sigma xylulose-5-P]/[sigma sedoheptulose-7-P] [sigma glyceraldehyde 3-P] = 0.48, were redetermined under physiological conditions. The equilibrium constant for the combined glucose-6-P dehydrogenase and 6-phosphoglucono-gamma-lactonase reaction, [6-phosphogluconate3-] [NADPH] [H+]2/[Glc-6-P2-] [NADP+], was found to be at least 1 X 10(-9). Using these redetermined equilibrium constants, calculated values of pentose cycle intermediates, based on near equilibrium assumptions and the tissue content of Fru-6-P and glyceraldehyde 3-P, were found to be in good agreement with measured values for male Wistar rats injected with saline, 20 mumol/g pyruvate, 20 mumol/g gluconate, and 20 mumol/g ribose. Measured and calculated values for pentose cycle intermediates in saline injected animals were ribulose-5-P; 3.8 +/- 0.4 and 2.4 +/- 0.1 nmol/g; xylulose-5-P, 5.9 +/- 0.6 nmol/g and 4.3 +/- 0.2 nmol/g; sedoheptulose-7-P, 41.5 +/- 2.4 and 37.6 +/- 2.9 nmol/g; and combined sedopheptulose-7-P and Rib-5-P, 43.0 +/- 2.8 nmol/g and 40.5 +/- 3.0 nmol/g; liver content of erythrose-4-P was less than the detection limits of the assay, 2 nmol/g. Calculated erythrose-4-P was 0.23 +/- 0.01 nmol/g. Liver content of 6-phosphogluconate was 8.5 +/- 0.7 nmol/g. The free cytosolic [NADP+]/[NADPH] ratio calculated from the 6-phosphogluconate dehydrogenase redox couple, 0.0030 +/- 0.0002, was also in good agreement with that calculated from the malic enzyme redox couple, 0.0051 +/- 0.0007, and the isocitrate dehydrogenase redox couple, 0.0066 +/- 0.0008. These data indicate the interdependence of the liver content of glycolytic intermediates and pentose cycle intermediates in ad libitum fed rats.",Jan 1986,"J P Casazza, R L Veech"
883,86DAL/REN,,10.1016/0003-2697(86)90642-1,,-,-,-,-,-,-,-,-
884,86DEW/EMI,3741845.0,10.1021/bi00362a022,,['eng'],25,14,4132-40,Biochemistry,"The kinetic mechanism of AMP nucleosidase (EC 3.2.2.4; AMP + H2O----adenine + ribose 5-phosphate) from Azotobacter vinelandii is rapid-equilibrium random by initial rate studies of the forward and reverse reactions in the presence of MgATP, the allosteric activator. Inactivation-protection studies have established the binding of adenine to AMP nucleosidase in the absence of ribose 5-phosphate. Product inhibition by adenine suggests a dead-end complex of enzyme, AMP, and adenine. Methanol does not act as a nucleophile to replace H2O in the reaction, and products do not exchange into substrate during AMP hydrolysis. Thus, the reactive complex has the properties of concerted hydrolysis by an enzyme-directed water molecule rather than by formation of a covalent intermediate with ribose 5-phosphate. The Vmax in the forward reaction (AMP hydrolysis) is 300-fold greater than that in the reverse reaction. The Keq for AMP hydrolysis has been experimentally determined to be 170 M and is in reasonable agreement with Keq values of 77 and 36 M calculated from Haldane relationships. The equilibrium for enzyme-bound substrate and products strongly favors the enzyme-product ternary complex ([enzyme-adenine ribose 5-phosphate]/[enzyme-AMP] = 480). The temperature dependence of the kinetic constants gave Arrhenius plots with a distinct break between 20 and 25 degrees C. Above 25 degrees C, AMP binding demonstrates a strong entropic effect consistent with increased order in the Michaelis complex. Below 20 degrees C, binding is tighter and the entropic component is lost, indicating distinct enzyme conformations above and below 25 degrees C.(ABSTRACT TRUNCATED AT 250 WORDS)",Jul 1986,"W E DeWolf, F A Emig, V L Schramm"
885,86GAJ/STE,3528161.0,10.1016/S0021-9258(18)67153-4,,['eng'],261,27,12733-7,The Journal of biological chemistry,"The enthalpy of hydrolysis of the enzyme-catalyzed (heavy meromyosin) conversion of adenosine 5'-triphosphate (ATP) to adenosine 5'-diphosphate (ADP) and inorganic phosphate has been investigated using heat-conduction microcalorimetry. Enthalpies of reaction were measured as a function of ionic strength (0.05-0.66 mol kg-1), pH (6.4-8.8), and temperature (25-37 degrees C) in Tris/HCl buffer. The measured enthalpies were adjusted for the effects of proton ionization and metal ion binding, protonation and interaction with the Tris buffer, and ionic strength effects to obtain a value of delta H0 = -20.5 +/- 0.4 kJ mol-1 at 25 degrees C for the process, ATP4-(aq) + H2O(l) = ADP3-(aq) + HPO2-4(aq) + H+(aq) where aq is aqueous and l is liquid. Heat measurements carried out at different temperatures lead to a value of delta C0p = -237 +/- 30 J mol-1 K-1 for the above process.",Sep 1986,"E Gajewski, D K Steckler, R N Goldberg"
886,86GOL/GAJ,17007794.0,10.1016/0301-4622(86)85054-2,,['eng'],24,1,13-23,Biophysical chemistry,"The thermodynamics of the conversion of aqueous L-aspartic acid to fumaric acid and ammonia have been investigated using both heat conduction microcalorimetry and high-pressure liquid chromatography. The reaction was carried out in aqueous phosphate buffer over the pH range 7.25-7.43, the temperature range 13-43 degrees C, and at ionic strengths varying from 0.066 to 0.366 mol kg(-1). The following values have been found for the conversion of aqueous L-aspartateH- to fumarate2- and NH4+ at 25 degrees C and at zero ionic strength: K = (1.48 +/- 0.10) x 10(-3), DeltaG degrees = 16.15 +/- 0.16 kJ mol(-1), DeltaH degrees = 24.5 +/- 1.0 kJ mol(-1), and DeltaC(p) degrees = -147 +/- 100 J mol(-1) K(-1). Calculations have also been performed which give values of the apparent equilibrium constant for the conversion of L-aspartic acid to fumaric acid and ammonia as a function of temperature, pH and ionic strength.",Jun 1986,"R N Goldberg, E Gajewski, D K Steckler, Y B Tewari"
887,86GRA/ELL,,10.1016/0167-4889(86)90050-9,,-,-,-,-,-,-,-,-
